name,neighborhood,price
Private Room + Bath in East Village (+ Roof deck!),Manhattan,175
Entire Floor of Sunny Brownstone,Brooklyn,188
"Chic, clean, and comfortable!",Queens,80
Perfect Holiday House in NYC,Queens,160
"Come, relax, and explore NYC",Brooklyn,50
Cozy 1 br apartment in Williamsburg,Brooklyn,100
Sunny Room close to Express Train,Brooklyn,65
Room in Big Duplex and Backyard!,Brooklyn,50
Cozy Room in Times Square,Manhattan,70
Perfect Studio on Ft. Green Park!,Brooklyn,130
1 Bedroom Apt in Tree Line Block,Brooklyn,60
Charming Brooklyn Brownstone Home - GREAT LOCATION,Brooklyn,180
Stunning Furnished Modern Studio,Manhattan,150
Private room in Jackson Heights Apartment 2+,Queens,69
European Host in Manhattan,Manhattan,62
Charming1 Bedroom Apt in Greenpoint,Brooklyn,150
Sun Drenched Amazing large 1 br,Brooklyn,118
Sunny apt. in Renovated brownstone,Manhattan,195
New York City Private Room near Metro,Manhattan,75
Lovely studio - Clinton Hill/Barclays Center area.,Brooklyn,135
Charming West Village Apartment,Manhattan,450
Cozy room in unique artsy apartment,Manhattan,45
Charming Two Bedroom in Chelsea 30 days+,Manhattan,250
Greenpoint Master Bedroom,Brooklyn,70
1 large bedroom apartment available,Manhattan,120
Lovely Brooklyn Room & Private Bath,Brooklyn,125
Newly Renovated Near Central Park,Manhattan,118
Private room in great apt bwick,Queens,50
Stay European in Brooklyn,Brooklyn,100
Cozy room for short term sublet,Brooklyn,40
"Sunny, Open Studio Apartment",Manhattan,225
New bldg~Junior 1~colombus circle~Terrace~WD,Manhattan,185
"Quiet, Meatpacking/W.Village",Manhattan,225
Magical rowhouse and garden in Williamsburg,Brooklyn,155
Spacious UES 1 bedroom apartment,Manhattan,165
"Bright & Beautiful, Private Garden",Brooklyn,165
"New City View 1BR Loft, Greenpoint",Brooklyn,149
New! 2-Bed Apt Near Central Park,Manhattan,142
Cozy & clean private bedroom&bath-LGBTQIA welcome!,Queens,59
"Homey, Large, Gorgeous 2 BR Apt!",Manhattan,200
Large 1 bdrm in Prospect Heights,Brooklyn,125
Park Block Studio,Brooklyn,181
Private 1 BR Apt in Exciting Bushwick,Brooklyn,90
Welcome to Brooklyn!,Brooklyn,70
Spacious studio between NoLiTa and LES,Manhattan,150
Spacious Studio - Central Park!,Manhattan,225
"Great location, close to everything",Manhattan,240
Cozy apt next to park & train for 4,Brooklyn,98
NYC 1-Bedroom Apt in the Heights,Manhattan,100
Perfect Studio in the West Village,Manhattan,200
DNTWN BK / Boerum Hill Sky Loft,Brooklyn,150
Room in Williamsburg,Brooklyn,65
Your Brooklyn Nest,Brooklyn,129
Urban Rustic Room In Artist's Loft!,Brooklyn,65
Beautiful Room Near S. St. Seaport,Manhattan,70
Cozy & Quiet 1 BR - Lincoln Center,Manhattan,200
Cozy Private Room in Astoria,Queens,58
Hand Crafted Williamsburg Sanctuary,Brooklyn,180
Large private room in Nolita,Manhattan,120
REAL LUXURY my SUNNY alcove studio,Manhattan,244
Cozy and bright room with a closet,Brooklyn,40
1Br apt on the UES accomodates two,Manhattan,150
"Large, sunny, private studio Apt 2R",Brooklyn,135
Central Park Brownstone Studio,Manhattan,150
Charming 1BR in Brooklyn Brownstone,Brooklyn,200
Single room in townhouse with yard!,Brooklyn,65
Park Slope center Garden Studio  ,Brooklyn,140
Amazing room in Williamsburg!!!,Brooklyn,80
Sunny Studio Loft in Greenpoint,Brooklyn,129
Compact cosy studio with separate kitchen,Queens,112
"Great space, amazing location",Brooklyn,80
"Spacious, Renovated 1 BR Loft Apt",Manhattan,149
Big Bedroom in Huge Loft. W.37thNYC,Manhattan,99
Private Room Available!,Manhattan,50
Luxury apartment in Bushwick,Brooklyn,190
"Sleeping in NYC, like home.",Queens,70
Quiet Attic Room for Single Female Traveler,Bronx,30
Massive Private Bedroom/Bath and Beautiful Terrace,Manhattan,96
Sunny back bedroom in duplex,Brooklyn,85
1 bedroom in a 2 bedroom apartment,Manhattan,200
Sunny & Spacious Apt Near Subway,Manhattan,118
"Bright, sunny Gramercy apartment!",Manhattan,150
Spacious Private room near Columbia University,Manhattan,50
CLEAN SUNNY ARTSY APARTMENT,Brooklyn,99
Manhattan Full Apt Next to Subway!,Manhattan,350
Luxury/Midtown East,Manhattan,165
Soaring Bushwick 3 Bedroom,Brooklyn,225
Lower East Side Studio !,Manhattan,110
Architects Central SoHo 1BR Home,Manhattan,245
Comfy Bedroom- Artsy Townhouse- Location Location,Manhattan,65
East Village - Private Room in 2 BR,Manhattan,100
鈥滅航绾︿箣瀹垛 鐙珛娲楁墜闂碢rivateBathroom,Queens,60
"BEAUTIFUL APT UPPER WEST SIDE, 68St ONLY GIRLS",Manhattan,68
Sunny Bedroom in Brooklyn Loft,Brooklyn,55
Charmingly Rustic Apt in Ft Greene,Brooklyn,195
"24 h doorman,luxury 1Bdr Upper East",Manhattan,120
Awesome apartment in Williamsburg!,Brooklyn,80
Cozy Quiet 1 BR Apt Hell's Kitchen,Manhattan,195
Newly renovated 2 bed 2 bath in EV,Manhattan,275
Authentic New York Vintage Home,Staten Island,49
Brooklyn Bargain for August!,Brooklyn,30
Lovely apartment on Upper West Side,Manhattan,150
Bright Peaceful Clean | One Bedroom,Brooklyn,140
New Sunny East Village Apartment,Manhattan,160
East Village with 2x Balcony + Roof,Manhattan,125
Large Bedroom in Bushwick,Brooklyn,48
Cozy & Clean #1,Brooklyn,50
"Live like a local! Queen size bed, private room.",Manhattan,100
"Shared room, full size bed & Skyline view!",Manhattan,50
"2 Bedroom, Doorman. Roof deck. Skyview!",Manhattan,320
Spacious Private Room in Wash Hts!,Manhattan,200
Cozy BedRoom in a great location.,Manhattan,70
Big Private Bedroom in Williamsburg Townhouse,Brooklyn,70
Brooklyn Heights gem,Brooklyn,200
#1 LARGE STUDIO NEAR CENTRAL PARK!,Manhattan,100
Wall Street luxury short term stay,Manhattan,150
Renovated 1 BDRMUnion Sq/E.Village,Manhattan,185
Lower East Side Minimalist Studio,Manhattan,125
Brooklyn Soul,Brooklyn,148
Manhattan Condo at Midtown 45,Manhattan,295
"1 bedroom, large williamsburg loft",Brooklyn,80
AFFORDABLE COZY PRIVATE ROOM,Bronx,45
"New, Modern,  Brooklyn Apartment ",Brooklyn,114
"Queens,Woodside.NY",Queens,37
Dreamy belltower room in huge loft,Brooklyn,45
The Perfect Studio in Brooklyn,Brooklyn,85
Comfortable room near everything,Queens,150
Cozy Chelsea Carriage House Apt,Manhattan,240
Great and private place to stay in Manhattan!,Manhattan,65
Soho/Nolita - Best Location - Large 1 BDRM.,Manhattan,280
Comfortable bedroom in Bushwick ,Brooklyn,65
White private room with 0min to bus stop,Brooklyn,65
"Sleeping in NYC, like home (1).",Queens,65
"LOVELY APARTMENT, BIG LIVING ROOM",Brooklyn,120
A beautiful Brownstone in Bed-Stuy.,Brooklyn,255
Cozy Nest 15 Minutes from Manhattan,Queens,54
"Large studio, view on Central Park",Manhattan,175
AWESOME SUNNY ROOM C IN A CHARMING AREA!,Brooklyn,90
AWESOME MODERN ROOM IN CHARMING AREA +SWEET ROOF 2,Brooklyn,90
AWESOME MODERN ROOM IN CHARMING AREA+ SWEET ROOF B,Brooklyn,90
"Cozy apartment ,in uptown Manhattan",Manhattan,120
"Sunny,Private,Williamsburg 1BD Apt",Brooklyn,210
Beautiful 2BR Upper West Side,Manhattan,150
Amazing location!!!!!!!  Upper East Side Manhattan,Manhattan,140
Private room for 2 (10 min to city) - Females only,Bronx,80
Apt. in Classic Brooklyn Brownstone,Brooklyn,200
Stunning Brooklyn brownstone 20 mins to Manhattan,Brooklyn,450
Large 2 bed 2 bath w private patio!,Manhattan,200
NYC Charming Harlem Brownstone w/ private garden!,Manhattan,116
Chic Downtown Getaway: Large 1BR Flat,Manhattan,215
Beautiful Spacious Uptown Apartment,Manhattan,160
Spacious bedroom in Oversized Apt.,Manhattan,150
Shared Room in Apartment,Brooklyn,40
Phenomenal 1br Loft in Brooklyn,Brooklyn,149
Cozy Apartment in Lower Manhattan,Manhattan,65
Modern Williamsburg Treehouse,Brooklyn,260
Large Outdoor Patio Space for Small Events,Brooklyn,400
"Amazing Apartment, Heart of Willy!",Brooklyn,90
Beautiful Astoria Apartment,Queens,75
Cozy Harlem Stay,Manhattan,75
HUGE 1BR on the Upper East Side ,Manhattan,110
"Spacious room in fun, quiet house",Brooklyn,115
Lefferts Gardens Brooklyn Room,Brooklyn,20
Private Room In Bushwick,Brooklyn,49
Large private room on quiet street,Queens,100
Doorman buildng studio-East Village,Manhattan,82
Sunny bedroom in the West Village,Manhattan,90
Delightful Lighthouse -Direct Train To JFK Airport,Brooklyn,69
Traveler鈥檚 Nest - Straight train from JFK Airport,Brooklyn,69
3 bedroom Apt at $249 per Night.,Brooklyn,249
The Charmer - Straight shot from JFK Arprt!,Brooklyn,89
"Entire Floor, Private Bathroom -Direct ride to JFK",Brooklyn,159
"Huge, central & artsy Park Ave apt!",Manhattan,220
Serenity in the Heart of Brooklyn,Brooklyn,95
Private Room in 鈥淗ipster Times Square鈥,Brooklyn,60
"Renovated 1BR in exciting, convenient area",Manhattan,179
Fantastic Room in Midtown Manhattan,Manhattan,120
SUN-FILLED WILLIAMSBURG APT w/DECK!,Brooklyn,275
"Large Room, Hamilton Heights Section of Manhattan",Manhattan,86
Private Room in Williamsburg,Brooklyn,62
Fantastic Studio with King bed- Best Location!,Manhattan,165
Long term sublet Brooklyn,Brooklyn,89
Perfect Home Away from Home in NYC!,Manhattan,116
Tall Ceilings & Sunlight Galore,Brooklyn,172
"Pet friendly, homey 1 BR in Lower East Side, NYC",Manhattan,125
One bedroom Apt,Queens,90
Home 4 Medical Professionals-MAIM0,Brooklyn,50
Large/Modern Apt - Lincoln Center,Manhattan,250
鉂わ笍Lovely Historic Brownstone Charm鉂わ笍 LEGAL LISTING,Brooklyn,185
Tiny Private Artist's Studio in NYC,Bronx,63
Sunny One Bedroom-Amazing Location,Manhattan,163
Columbia University Dorm,Manhattan,40
East Village -  Beautiful 1 Bedroom,Manhattan,195
A nice room and free parking,Brooklyn,89
Comfy Futon- 20mins Times Sq.,Manhattan,45
"Beautiful, bright and friendly",Brooklyn,60
"Lovely, bright & cozy room in Manhattan!",Manhattan,125
Newly renovated 1 bedroom apartment,Manhattan,220
Comfortable classy 1br in Ditmas Pk,Brooklyn,85
Beautiful Private Williamsburg Suite with Terrace,Brooklyn,165
Beautiful One-Bedroom Apartment  Near Central Park,Manhattan,144
Unique Furnished Loft Sublet,Brooklyn,75
one large private bedroom/ two bedroom apartment,Brooklyn,60
SUNNY ROOM A IN CHARMING AREA :),Brooklyn,95
CHARMING ROOM A - PRIVATE BALCONY!!,Brooklyn,95
SUNNY ROOM 2 IN CHARMING AREA :),Brooklyn,95
CHARMING ROOM W/ ROOF DECK ACCESS 1 :),Brooklyn,95
SUNNY ROOM 1 IN CHARMING AREA :),Brooklyn,95
"Che' Randall 
SoBro
10 min from Manhattan!",Bronx,65
Cozy 1BD side apartment w/parking,Staten Island,65
"Large, sunny, private studio Apt 2F",Brooklyn,110
Room in 3 bedroom apt.,Queens,47
Enjoy Views of NYC Skyline,Queens,175
Bright Lux 1BR in Williamsburg,Brooklyn,234
Hotel Gabrielle,Brooklyn,105
2 Flushing Sunny Garden View 鑸掗傞槼鍏夋埧,Queens,47
45 Ave 159 st Flushing private room,Queens,55
Manhattan Columbia Sunny and Quiet Private Studio.,Manhattan,146
1-BdRm Entire Apartment St. George,Staten Island,60
Clean & Cozy room in Great Location,Manhattan,61
PRIVATE BEDROOM on Lower East Side,Manhattan,84
La Boh猫me/ Authentic NYC Experience,Manhattan,179
Private Bedroom Minutes to Midtown,Queens,100
Spacious & Sunny Near McCarren Park,Brooklyn,175
2 Bedroom Apartment in Chelsea,Manhattan,250
Spacious Midtown-East Bedroom/Apt,Manhattan,150
European eco-chic in trendy Bklyn 2,Brooklyn,83
BROOKLYN BEDSTUY PIED-A-TERRE,Brooklyn,105
Spacious apartment in Greenpoint,Brooklyn,125
Amazing apartment!,Brooklyn,150
Williamsburg Sunny Large Loft,Brooklyn,69
"Secret Garden Apartment in Bed Stuy, Brooklyn",Brooklyn,190
Charming Room off the L train,Brooklyn,76
1300 usd monthly Private Bedroom Brooklyn Heights,Brooklyn,45
1 Quiet Private Room in Heart of Soho!,Manhattan,142
Heart of times square Best location,Manhattan,125
*** Gorgeous 2BD apt with Terrace ***,Manhattan,200
The Notorious B.N.B. { The William Henry },Brooklyn,259
Classic 4 BR brownstone,Brooklyn,275
Modern Studio Loft in Downtown NYC,Manhattan,179
"Modern, Cozy & Bright Private Room and Bathroom",Brooklyn,70
Room in heart of East Village,Manhattan,300
Convienent Midtown West getwaway!,Manhattan,300
Bright and Cheerful,Brooklyn,259
LARGE SUNNY QUIET NY APARTMENT,Manhattan,50
Quiet 1BD in West Village,Manhattan,300
Cozy Park Slope Ground Floor Apt,Brooklyn,95
"Artist loft in prime WILLIAMSBURG, art everywhere!",Brooklyn,132
~*Awesome Room in LIC w/ backyard*~,Queens,80
Room-Convenient UES Near everything,Manhattan,85
Modern Clean Loft in Prime Brooklyn,Brooklyn,246
The Big Room in Flushing,Queens,50
Sunlit Gem in Happening Greenpoint,Brooklyn,75
Luxurious Designer 2 Bedm Union Square/Gramercy,Manhattan,209
Full Floor Loft Style Apt/Noho/Bond,Manhattan,330
Large BED in Amazing LIVING SPACE,Queens,55
Chambre Priv茅e pr猫s de Central Park,Manhattan,60
views to die for apartment on water,Brooklyn,180
Brownstone Duplex Harlem/Columbia U,Manhattan,300
Breakfast in Manhattan on terrace!,Manhattan,175
Spacious UWS pre-war guest room!,Manhattan,100
Sunny Elegant Parkside Apartment,Brooklyn,175
Private Prospect Park Bed and Bath ,Brooklyn,60
1bd garden apartment in Fort Greene,Brooklyn,175
Cozy NYC Bedroom in the Best Manhattan Location!,Manhattan,105
Private Vintage L Shaped Studio,Brooklyn,49
Private Master Bed-Queen Pillowtop & PRIVATE BATH,Brooklyn,65
2 Bedroom Appartment with Rooftop-Central Park,Manhattan,450
"Bright, Clean, Spacious Upper West Zen w/Balcony",Manhattan,185
Clean Loft Bed 17min from Manhattan,Brooklyn,57
`AMAZING BROOKLYN HOME,Brooklyn,79
"Park Slope, Sunny, Private, Quiet, 2 Bedroom",Brooklyn,218
BRAND NEW HUGE 1 BED@TIMES SQ!!!!!!,Manhattan,70
"As seen on Netflix! Bright, 3-bedroom in Red Hook",Brooklyn,350
Peaceful Private Room with deck & garden,Brooklyn,100
Charming Studio Apt w Home Theater,Brooklyn,150
Charming Pre-War Apt in NYC,Queens,45
Peaceful room in sweet neighborhood,Queens,46
Room in Historic Fort Greene Apt.,Brooklyn,50
Chic Loft Like 2 bed-2bath,Manhattan,285
Classic Brooklyn Row House,Brooklyn,220
Small room in heart of Manhattan,Manhattan,125
"Central Park- 5 mins. away, Subway on corner(med.)",Manhattan,80
Comfortable Room in 3BR apartment,Queens,58
Charming 1BR Bed-Stuy Garden Apt,Brooklyn,100
Charming Brownstone Apartment,Brooklyn,175
Magnificent Townhouse - Upper East Side - NYC,Manhattan,1200
Cozy room in Great Neighborhood,Queens,60
Beautiful Apartment with Garden Access,Brooklyn,160
Cozy Harlem Experience,Manhattan,65
BEST LOCATION 12ST BY UNION SQUARE,Manhattan,499
Lovely Soho / Village 1BR,Manhattan,350
The Hub for Two,Brooklyn,105
"Sunny, Spacious & Sweet 2BD home!",Brooklyn,245
3 BDR Apt-Just Minutes to Manhattan,Brooklyn,139
FABULOUS SUNNY BEDROOM IN HARLEM,Manhattan,50
"Private Room, 33rd and 2nd",Manhattan,90
Beautiful Spacious Studio,Queens,90
Awesome Place in the Heart of EV,Manhattan,250
Large private bdrm in S. Park Slope,Brooklyn,70
1 BR apt East Village,Manhattan,150
Master Private Room in Midtown,Manhattan,150
Lovely 1BR Garden Apartment w/Private  Garden,Brooklyn,109
Charming Stylish E. Village Studio,Manhattan,140
Comfortable and Large Room,Brooklyn,31
COLUMBIA PRESBYTERIAN MED CTR * 2 Bedroom Apt*,Manhattan,140
Charming Private Room,Manhattan,65
Boarding Room-style mini apartment/Harlem Oasis,Manhattan,85
Park Slope Bedroom,Brooklyn,35
Beautiful 1BR in West Harlem!,Manhattan,155
Cozy Room in Brooklyn Brownstone,Brooklyn,65
Delightful Brooklyn digs!,Brooklyn,100
Large Room in Washington Heights,Manhattan,100
Perfect 1BD in East Village,Manhattan,125
Beautiful Studio Steps from the Met,Manhattan,170
Newly renovated historic brownstone,Brooklyn,65
1 bedroom in 3 bedroom apartment,Brooklyn,38
"Beautiful, Bright Private-Room in West Harlem!",Manhattan,68
Very private & large room Wburg BK,Brooklyn,110
Charming Brownstone apartment in Brooklyn,Brooklyn,100
Spacious & Trendy Uptown Apartment,Manhattan,125
Private Bedroom near Time Square,Manhattan,60
Charming Room in West Village Apartment,Manhattan,80
COLUMBIA PRESBYTERIAN MED CTR *AURA* Studio Apt,Manhattan,95
Spacious Room in East Village/NoHo,Manhattan,163
Big & Bright w Terrace near park!,Brooklyn,225
Harlem 2bdr apt,Manhattan,150
In The Middle of It All!,Brooklyn,170
Spacious Studio,Manhattan,65
Big Room in Central BK Neighborhood,Brooklyn,60
HEART of Manhattan,Manhattan,168
Cozy 1 BR - Prospect Heights,Brooklyn,100
Family summer on the Hudson - 1 wk. min. 8/16-9/4,Manhattan,195
Beach Lovers Dream!,Queens,89
Entire floor. Private bathroom. Great location.,Manhattan,109
Perfect Private Room for 1 or 2 per,Queens,150
Private room in queens New York,Queens,150
Partially Furnished 3BR - UES,Manhattan,150
3 Bedroom Apartment - Greenwich Vlg,Manhattan,120
Private Garden View 鈥 Eco Home 鈥 3 Min to Subway!,Brooklyn,40
Oversized 1BR~Union square~Sleeps 4~Best Value,Manhattan,150
Homey Room w/ Lots of Sunlight!,Manhattan,45
Loft in South Park Slope (Brooklyn),Brooklyn,159
A Charming & Spacious Flat in NYC,Manhattan,149
"Bright, Clean 1 Bd 2 Blks to Trains",Queens,125
Cozy Brooklyn Apartment,Brooklyn,75
"Sunny, Spacious, Perfect Location!",Brooklyn,109
Central Park W Pristine Apartment,Manhattan,499
Beautifully renovated brownstone,Brooklyn,480
2 large rooms in sunny brownstone,Brooklyn,220
Private Room in 3BD Apt with a queen bed,Brooklyn,55
Big Manhattan Apartment 3 bedrooms big Living Room,Manhattan,341
Cute One-Bedroom on treelined block,Brooklyn,108
Sunny Apt near Park and Subways in Windsor Terr,Brooklyn,128
Garden House in the East Bronx,Bronx,110
Urban sanctuary near Bedford L!,Brooklyn,179
Spacious Family Apt Block from Park,Manhattan,175
"Cozy, Entire Apt, Close to L train",Brooklyn,80
Super cool and sunny apartment in Crown Heights,Brooklyn,149
Live in Harlem close to Columbia U!,Manhattan,50
Convenient and cozy space!,Queens,75
West wing private room in NYC loft,Manhattan,100
Home On Kissena Park in Flushing NYC,Queens,369
A Modern 1 bedroom Apartment in Brooklyn,Brooklyn,198
Cozy attic with private bath,Queens,100
"Chic, Spacious & Quiet UWS Manhattan NYC 1BDR Gem!",Manhattan,195
"LES  3 BR Apt, CENTRALLY LOCATED!",Manhattan,257
4 bedrooms private house,Queens,145
Single private room near train 1,Manhattan,45
"Room in Lic, Queens brick townhouse",Queens,60
Spacious 1BD Red Hook Apartment,Brooklyn,120
"Historic, Sunny Prospect Park Apt!",Brooklyn,80
One Block From Train - 4/23-4/30,Brooklyn,85
2000sq $2 million 3 story townhouse,Brooklyn,99
Charming 1 Bed Room/ Exposed Brick,Manhattan,180
Location Angel Marlie ( only female),Queens,40
BK Private Room&Bath - comfortable!,Brooklyn,96
Sunny 1 Bedroom in Harlem!,Manhattan,105
Cozy 1BD in a cool neighborhood.,Queens,80
Manhattan 1BR for $2000/mo Sublet,Manhattan,100
Sunny Room 15min from Manhattan,Brooklyn,58
The very heart of Williamsburg,Brooklyn,89
Central  Times Square w prvte bath,Manhattan,105
"Lower East Side, Private 1BD+ for2",Manhattan,85
Enormous Sunny Room in Prime Clinton Hill Brooklyn,Brooklyn,68
1BR 5 minute walk to Times Square,Manhattan,200
1 BR UPPER EAST SIDE,Manhattan,170
Beautiful 1 BR by Prospect Park,Brooklyn,60
Chic 2bed-2bath Manhattan Dream,Manhattan,285
Studio Apt East Harlem,Manhattan,90
Cute Studio close to subway for monthly rental,Brooklyn,75
Nice cozy studio apt close to all,Queens,115
2 Bed/2 Bath - Driveway & Backyard!,Brooklyn,118
Bright Room w/ Private Bathroom and Roof Deck,Brooklyn,76
Ideal Greenpoint Location,Brooklyn,245
One Bedroom Available (May 1-May 6),Manhattan,200
Studio Apartment/ 3 blocks from Central park,Manhattan,75
Hell's Kitchen 1 Bedroom,Manhattan,200
Beautiful HUGE Studio.. 52ST 3AVE.,Manhattan,85
Beautiful Brownstone in Greenpoint,Brooklyn,350
Private Room in a Shared Apt by Columbia Univ,Manhattan,101
Large Park Slope Alcove Studio,Brooklyn,110
Beautiful Apartment in SoHo,Manhattan,125
"Ideal ""Hotel Style"" Bedroom in LES",Manhattan,89
Cozy studio near Grand Central,Manhattan,180
Beautiful Apartment close to Metro Line.,Brooklyn,120
Large room in beautiful Park Slope,Brooklyn,50
The Manhattan Club studio New York,Manhattan,299
Chic calm in the heart of Soho,Manhattan,195
Charming Bedroom in Greenwich,Manhattan,78
Amazing 2 Bedroom Chelsea,Manhattan,250
"LOCATION, LOCATION, LOCATION -NYC!!",Manhattan,150
Large modern 1BR w/ Balcony!,Manhattan,350
Moma Casanova. New Additions!,Queens,78
BIG SUNNY ROOM IN CROWN HEIGHTS,Brooklyn,55
Classic Soho Brownstone,Manhattan,300
Harmony House 2 on Madison Street,Brooklyn,38
"Quiet 1 Bed, Heart of SoHo",Manhattan,150
queen sized room for one-Great View,Manhattan,75
Spend Your Fall in Bed-Stuy,Brooklyn,52
Stylish Pop-Art studio on trendy UWS,Manhattan,198
"Clean, comfy & casual private room - 1min to train",Brooklyn,49
Manhattan Multi-Million $ Luxury Central Park View,Manhattan,950
Orchard Street Studio !,Manhattan,105
Large Alcove Studio,Manhattan,225
Beautiful room & Amazing location,Brooklyn,125
CleanLovely 1BR Apt in Clinton Hill,Brooklyn,110
Spacious Bedroom in Brooklyn,Brooklyn,44
SPACE IN APT IN PERFECT LOCATION,Manhattan,77
Wow Historical Brooklyn New York!@!,Brooklyn,97
"Quiet, quaint room in Victorian TH",Brooklyn,45
2B Williamsburg Loft Apartment,Brooklyn,157
Guest Suite in Prime Williamsburg,Brooklyn,80
Large room in Hamilton Heights,Manhattan,50
A Cozy 4 bedrm Apt Queen(5minsLGA),Queens,275
A Gem in Fort Greene Brooklyn,Brooklyn,129
Heart of West Village cozy apt,Manhattan,250
Solo traveler oasis,Manhattan,36
Cozy Studio - Midtown West,Manhattan,200
Bright Studio Perfect for the Wknd!,Manhattan,185
2 bedroom in hell's kitchen,Manhattan,130
Bright LARGE BED near Manhattan,Queens,65
Loft in Williamsburg,Brooklyn,275
Cosy and sunny studio for you!,Manhattan,120
Spacious Sunny Studio in LES,Manhattan,180
Entire apt right at the park!,Brooklyn,123
Large room in newly renovated apt,Brooklyn,750
Charming one bedroom Central Park,Manhattan,210
Sunny studio West Village/Chelsea,Manhattan,139
Sun-filled living room with futon!,Brooklyn,45
Private bedroom in sunny apt,Manhattan,79
"Prime Park Slope Townhouse, 4 BR and Garden",Brooklyn,345
Relaxing Brooklyn Getaway,Brooklyn,90
Contemporary Modern Studio,Queens,150
Wonderful Large 1 bedroom,Manhattan,75
Spacious Gramercy Penthouse Studio,Manhattan,200
Cozy 1 Bedroom apartment fitting 4,Brooklyn,100
Room in Prospect Heights,Brooklyn,32
Mini Studio in NY city safest area,Brooklyn,45
"Ideal Location, Spacious IBr",Manhattan,115
Modern Vibrant Large Cozy Bedroom* 姝ｉ潰鑳介噺,Bronx,56
2BR  Lower East Side,Manhattan,210
BRAND NEW 1BD / STEPS CENTRAL PARK!,Manhattan,87
"Share quiet, clean and spacious apt",Staten Island,40
Private Room In a Goodhome,Brooklyn,58
"Sunny, Charming Williamsburg 1-BR",Brooklyn,125
Large and Beautiful 1 Bedroom in Bushwick,Brooklyn,100
Artist Loft  Heart of Williamsburg,Brooklyn,195
"Big bedroom, heart of Williamsburg",Brooklyn,90
Nice and Comfortable Private Room,Manhattan,65
Large Room with a Balcony *10 mins to Manhattan*,Brooklyn,100
Student/Family Friendly Near Schools Parks Dining,Manhattan,200
Chinatown/Lower East Side Room,Manhattan,75
Spacious 1 BR Near Central Park!,Manhattan,220
Handsome historic Greenpoint 2BR,Brooklyn,225
Zen urban sanctuary.,Brooklyn,163
Beautiful Room near L train,Brooklyn,85
Charming House in Astoria,Queens,150
A Couch In East Williamsburg Near Train.,Brooklyn,38
Comfy convenient apt. by the trains,Manhattan,79
Sunny 1 bd -Prospect Park!,Brooklyn,90
Private Rooms @ Townhouse,Brooklyn,100
LES SUNNY STUDIO on Chrystie Street,Manhattan,99
Calm airy top floor W'burgh 1.5 bed,Brooklyn,200
Studio steps from park & train!,Manhattan,190
"BIG PRIVATE ROOM, UPSCALE LOCATION",Manhattan,90
ColumbiaUniversityHousing 9.1-9.6,Manhattan,60
Beautiful Washington Heights Apt!,Manhattan,90
"Plush King Size Bed, Great Location",Manhattan,75
Oasis in Manhattan on Hudson river!,Manhattan,70
Upper East Side - Private Room,Manhattan,85
Spacious room in Williamsburg,Brooklyn,50
Sunny 1 Bedroom Apt in East Harlem!,Manhattan,130
"A fine, modern, spacious apartment",Manhattan,199
"Spacious, new studio, in Gramercy",Manhattan,150
4500 SQ FT Quiet Brooklyn Loft for Shoots & Events,Brooklyn,750
Room in Beautiful Brownstone,Brooklyn,80
Comfy Space in Williamsburg!,Brooklyn,62
"Cozy room in a fun, low-key neighb!",Brooklyn,105
Amazing 3 bedrooms in East Village,Manhattan,250
Amazing Airy Hs w Old World Details,Brooklyn,350
Brooklyn Zen Gem w/Personal Balcony,Brooklyn,65
Charming studio near Little Italy!,Manhattan,95
"5 min from midtown, but peaceful.",Queens,153
1-bedroom in heart of Williamsburg!,Brooklyn,150
Large condo with stunning park views,Manhattan,280
Columbia University in Manhattan,Manhattan,70
"Amazing 1bedroom uptown, Manhattan",Manhattan,155
Central Williamsburg Room,Brooklyn,71
Midtown EAST 1 BDR APT -  BEST area of Manhattan,Manhattan,182
1 bedroom in a 2 bedroom apartment,Manhattan,105
Bright and Beautiful UWS Treasure!!,Manhattan,100
Cozy & Convenient Room in Bed-Stuy,Brooklyn,45
"Amazing 2 Bedroom Bklyn apt, near SUNY Downstate!",Brooklyn,109
You have chosen...wisely!,Brooklyn,95
Brooklyn Zen Gem Serenity Bedroom,Brooklyn,65
"Spacious Studio, Freedom Tower View",Manhattan,250
Cozy South Williamsburg Bedroom off Bedford Ave!,Brooklyn,60
Shared Room in Luxurious 2BD,Manhattan,130
Charming 1 bedroom on the water!,Manhattan,120
Luxury 1 Bedroom in Astoria,Queens,200
On the Park -- one-bedroom.,Manhattan,190
NEW YORK CITY WITH AN OCEAN BREEZE,Brooklyn,129
"Large  Room in Spacious Flat , Central  Location",Brooklyn,85
Brownstone! Entire Garden Apt w/ Private Entrance!,Brooklyn,125
One bedroom in Midtown,Manhattan,175
Brooklyn New York City - JFK/LGA,Brooklyn,130
"Marilyn's Home Stay 1, Brooklyn, NY",Brooklyn,70
Great Loft in Williamsburg-Brooklyn,Brooklyn,184
Double Bed In a Central Location,Brooklyn,180
Quiet Park Slope Apartment,Brooklyn,100
Modern 3BR Brownstone Apartment,Bronx,125
Bright studio in the heart of Brooklyn,Brooklyn,150
Sweet Harlem studio,Manhattan,105
Ensuite Redroom,Brooklyn,35
Orange Room,Brooklyn,30
Skyview Private Small Room,Brooklyn,30
"Quiet, Sunny Studio in Downtown NYC",Manhattan,125
